id,name,producer,type_id,grape_variety,region_id,created_at,update_at,image
,リースリング 2021,ドメーヌ・エンゲル,3,25,9,,,https://img07.shop-pro.jp/PA01398/155/product/170677340_th.jpg?cmsp_timestamp=20221002173329
,ジャンピング・ジュース・リースリング 2023,パトリック・サリヴァン,3,25,9,,,https://img07.shop-pro.jp/PA01398/155/product/178528768_th.jpg?cmsp_timestamp=20231209153605
,レルモ 2021,ラ・サラーダ,3,25,15,,,https://img07.shop-pro.jp/PA01398/155/product/178522919_th.jpg?cmsp_timestamp=20231209111915
,ボーディリ 2022,ラ・サラーダ,3,25,15,,,https://img07.shop-pro.jp/PA01398/155/product/178522804_th.jpg?cmsp_timestamp=20231208213742
,ワイルダー・サッツ・ピュア 2021,ブランド・ブロス,3,25,20,,,https://img07.shop-pro.jp/PA01398/155/product/178489604_th.jpg?cmsp_timestamp=20231206203817
,ビアンコ・ミルー 2021,コル・タマリエ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/178473369_th.jpg?cmsp_timestamp=20231205213743
,ブルゴーニュ・アリゴテ 2021,アリス・エ・オリヴィエ・ド・ムール,3,25,25,,,https://img07.shop-pro.jp/PA01398/155/product/176638849_th.jpg?cmsp_timestamp=20230816150331
,リースリング 2021,ドメーヌ・ド・ランヴォル,3,25,9,,,https://img07.shop-pro.jp/PA01398/155/product/170677340_th.jpg?cmsp_timestamp=20221002173329
,オルトゥルーゴ 2022,イル・ヴェイ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/178426138_th.jpg?cmsp_timestamp=20231202134654
,ソーヴィニヨン・センシュエル 2022,ルーシー・マルゴー,3,25,9,,,https://img07.shop-pro.jp/PA01398/155/product/178397452_th.jpg?cmsp_timestamp=20231130000934
,ダッシュ・ファーム・シャルドネ 2022,ジョシュア・クーパー,3,25,9,,,https://img07.shop-pro.jp/PA01398/155/product/178334021_th.jpg?cmsp_timestamp=20231126000600
,ミュスカ 2021,ロクタヴァン・ネゴス,3,25,25,,,https://img07.shop-pro.jp/PA01398/155/product/179642033_th.jpg?cmsp_timestamp=20240223221007
,ブラン 2022,getta wines,3,25,25,,,https://img07.shop-pro.jp/PA01398/155/product/178785244_th.jpg?cmsp_timestamp=20231228153912
,リトル・フラッフィ・クロウド 2022,フリュイタ・アナロジカ (ヴィニエス・トルトゥーガ・ネゴス),3,25,15,,,https://img07.shop-pro.jp/PA01398/155/product/178297971_th.jpg?cmsp_timestamp=20231124114710
,シャルドネ&ソーヴィニヨンブラン 2021,ヴァイングート・ヴァルドルフ,3,25,20,,,https://img07.shop-pro.jp/PA01398/155/product/178264612_th.jpg?cmsp_timestamp=20231122145449
,リースリング 2021,ヴァイングート・ヴァルドルフ,3,25,9,,,https://img07.shop-pro.jp/PA01398/155/product/170677340_th.jpg?cmsp_timestamp=20221002173329
,グランド・オルディネール 2022,DROP,3,25,21,,,https://img07.shop-pro.jp/PA01398/155/product/178162255_th.jpg?cmsp_timestamp=20231115230115
,ゲヴェルツトラミネール 2021,ローラン・バーンワルト,3,25,25,,,https://img07.shop-pro.jp/PA01398/155/product/173883128_th.jpg?cmsp_timestamp=20230402160412
,ゲット・ア・グリップ・バック・イン・ボックス 2022 (3000ml),ゴンゾ・ヴィーノ,3,25,9,,,https://img07.shop-pro.jp/PA01398/155/product/178017979_th.jpg?cmsp_timestamp=20231109161711
,リースリング 2020,デニス・ウォルフ,3,25,25,,,https://img07.shop-pro.jp/PA01398/155/product/173280620_th.jpg?cmsp_timestamp=20230224154031
,キュヴェ・クルト・#3 (1000ml),デニス・ウォルフ,3,25,20,,,https://img07.shop-pro.jp/PA01398/155/product/177869607_th.jpg?cmsp_timestamp=20231027230418
,ヴェッキエ・ヴィーニェ・リミテッド・エディション 2020! (2021!),ダヴィデ・スピッラレ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177794010_th.jpg?cmsp_timestamp=20231024174629
,ビアンコ・ルーゴリ 2020,ダヴィデ・スピッラレ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177793947_th.jpg?cmsp_timestamp=20231024174043
,ビアンコ・クレスタン 2020,ダヴィデ・スピッラレ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177793922_th.jpg?cmsp_timestamp=20231024173841
,ビアンコ・バッグ・イン ・ ボックス 2022 (3000ml),ダヴィデ・スピッラレ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177793596_th.jpg?cmsp_timestamp=20231024173238
,アン・ペティ・ソーヴィニヨン 2022,ウニコ・ゼロ,3,25,9,,,https://img07.shop-pro.jp/PA01398/155/product/177764481_th.jpg?cmsp_timestamp=20231023001615
,リースリング・グラウブルグンダー 2021,ヴァイングート・マン,3,25,20,,,https://img07.shop-pro.jp/PA01398/155/product/177761221_th.jpg?cmsp_timestamp=20231022171609
,プァプァ・ヴァイスブルグンダー 2021,ヴァイングート・マン,3,25,20,,,https://img07.shop-pro.jp/PA01398/155/product/177761162_th.jpg?cmsp_timestamp=20231022170859
,ヴァイス 2021,ヴァイングート・マン,3,25,10,,,https://img07.shop-pro.jp/PA01398/155/product/173791080_th.jpg?cmsp_timestamp=20230328121616
,ミュラートゥルガウ 2021 (1000ml),ヴァイングート・マン,3,25,20,,,https://img07.shop-pro.jp/PA01398/155/product/177760774_th.jpg?cmsp_timestamp=20231022165912
,ミュラートゥルガウ 2020 (1000ml),ヴァイングート・マン,3,25,20,,,https://img07.shop-pro.jp/PA01398/155/product/177760630_th.jpg?cmsp_timestamp=20231022164938
,トリオ・ソヴァージュ 2020,マックス・サイン・ワイン,3,25,20,,,https://img07.shop-pro.jp/PA01398/155/product/177748082_th.jpg?cmsp_timestamp=20231021114541
,レ・ゾトクトーヌ 2021,マックス・サイン・ワイン,3,25,20,,,https://img07.shop-pro.jp/PA01398/155/product/177748065_th.jpg?cmsp_timestamp=20231021114258
,ピュール・ジュ 2021,マックス・サイン・ワイン,3,25,20,,,https://img07.shop-pro.jp/PA01398/155/product/177748050_th.jpg?cmsp_timestamp=20231021114051
,ブラン 2021,マックス・サイン・ワイン,3,25,25,,,https://img07.shop-pro.jp/PA01398/155/product/172144275_th.jpg?cmsp_timestamp=20221225153750
,フェルモヴィラ・ソーヴィニョン 2022,ヴィーニ・サンタ・コロンバ,3,25,5,,,https://img07.shop-pro.jp/PA01398/155/product/177651032_th.jpg?cmsp_timestamp=20231015095558
,ウマミ 2019,ミラン・ネスタレッツ,3,25,17,,,https://img07.shop-pro.jp/PA01398/155/product/177642888_th.jpg?cmsp_timestamp=20231014151526
,ジー・アンド・ティー 2019,ミラン・ネスタレッツ,3,25,17,,,https://img07.shop-pro.jp/PA01398/155/product/177639431_th.jpg?cmsp_timestamp=20231014153155
,トラブルメーカー 2019,ミラン・ネスタレッツ,3,25,17,,,https://img07.shop-pro.jp/PA01398/155/product/177639397_th.jpg?cmsp_timestamp=20231014153343
,フィズィー・FAF・GR２本セット 2022,キヨ・ワインズ,3,25,21,,,https://img07.shop-pro.jp/PA01398/155/product/177564255_th.jpg?cmsp_timestamp=20231011114653
,ムスカテラー 2022,グロウ・グロウ,3,25,20,,,https://img07.shop-pro.jp/PA01398/155/product/177541914_th.jpg?cmsp_timestamp=20231010184235
